--2019-04-11 09:31:29--  http://178.157.14.137/media/interview.mp4
178.157.14.137:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 1523434523 (1,4G) [video/mp4]
Kayıt yeri: `cubic-out/interview.mp4'

  7950K .......... .......... .......... .......... ..........  0%  833K 85m50s
  8000K .......... .......... .......... .......... ..........  0% 1,33M 86m15s
  8050K .......... .......... .......... .......... ..........  0% 1,78M 86m24s
  8100K .......... .......... .......... .......... ..........  0% 2,09M 86m28s
  8150K .......... .......... .......... .......... ..........  0% 2,40M 86m27s
  8200K .......... .......... .......... .......... ..........  0% 2,81M 86m22s
  8250K .......... .......... .......... .......... ..........  0% 2,76M 86m17s
  8300K .......... .......... .......... .......... ..........  0% 3,67M 86m5s
  8350K .......... .......... .......... .......... ..........  0% 3,03M 85m58s
  8400K .......... .......... .......... .......... ..........  0% 4,36M 85m44s
  8450K .......... .......... .......... .......... ..........  0% 2,62M 85m41s
  8500K .......... .......... .......... .......... ..........  0% 2,56M 85m38s
  8550K .......... .......... .......... .......... ..........  0% 2,00M 85m43s
  8600K .......... .......... .......... .......... ..........  0% 2,23M 85m45s
  8650K .......... .......... .......... .......... ..........  0% 2,68M 85m41s
  8700K .......... .......... .......... .......... ..........  0% 3,53M 85m31s
  8750K .......... .......... .......... .......... ..........  0% 3,76M 85m20s
  8800K .......... .......... .......... .......... ..........  0% 2,92M 85m14s
  8850K .......... .......... .......... .......... ..........  0% 5,51M 84m58s
  8900K .......... .......... .......... .......... ..........  0% 2,40M 84m57s
  8950K .......... .......... .......... .......... ..........  0% 1,81M 85m6s
  9000K .......... .......... .......... .......... ..........  0% 2,53M 85m4s
  9050K .......... .......... .......... .......... ..........  0% 3,02M 84m58s
  9100K .......... .......... .......... .......... ..........  0% 3,93M 84m47s
  9150K .......... .......... .......... .......... ..........  0% 3,89M 84m36s
  9200K .......... .......... .......... .......... ..........  0% 3,41M 84m27s
  9250K .......... .......... .......... .......... ..........  0% 2,75M 84m24s
  9300K .......... .......... .......... .......... ..........  0% 1,92M 84m30s
  9350K .......... .......... .......... .......... ..........  0% 2,22M 84m32s
  9400K .......... .......... .......... .......... ..........  0% 2,03M 84m37s
  9450K .......... .......... .......... .......... ..........  0% 1,29M 84m59s
  9500K .......... .......... .......... .......... ..........  0% 1,81M 85m7s
  9550K .......... .......... .......... .......... ..........  0% 1,12M 85m37s
  9600K .......... .......... .......... .......... ..........  0% 1,77M 85m45s
  9650K .......... .......... .......... .......... ..........  0% 2,49M 85m44s
