--2019-04-11 02:05:06--  http://178.157.14.138/media/nasaAstronauts.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 476587036 (455M) [video/mp4]
Kayıt yeri: `lead-out/nasaAstronauts.mp4'

  9550K .......... .......... .......... .......... ..........  2%  485K 1h44m
  9600K .......... .......... .......... .......... ..........  2%  382K 1h44m
  9650K .......... .......... .......... .......... ..........  2%  316K 1h45m
  9700K .......... .......... .......... .......... ..........  2%  353K 1h45m
  9750K .......... .......... .......... .......... ..........  2%  490K 1h45m
  9800K .......... .......... .......... .......... ..........  2%  529K 1h45m
  9850K .......... .......... .......... .......... ..........  2%  549K 1h45m
  9900K .......... .......... .......... .......... ..........  2%  773K 1h45m
  9950K .......... .......... .......... .......... ..........  2%  607K 1h45m
 10000K .......... .......... .......... .......... ..........  2%  542K 1h45m
 10050K .......... .......... .......... .......... ..........  2%  693K 1h45m
 10100K .......... .......... .......... .......... ..........  2%  653K 1h45m
 10150K .......... .......... .......... .......... ..........  2%  636K 1h45m
 10200K .......... .......... .......... .......... ..........  2%  752K 1h45m
 10250K .......... .......... .......... .......... ..........  2%  606K 1h45m
 10300K .......... .......... .......... .......... ..........  2%  566K 1h45m
 10350K .......... .......... .......... .......... ..........  2%  499K 1h45m
 10400K .......... .......... .......... .......... ..........  2%  600K 1h45m
 10450K .......... .......... .......... .......... ..........  2%  559K 1h45m
 10500K .......... .......... .......... .......... ..........  2%  574K 1h45m
 10550K .......... .......... .......... .......... ..........  2%  530K 1h45m
 10600K .......... .......... .......... .......... ..........  2%  554K 1h45m
 10650K .......... .......... .......... .......... ..........  2%  566K 1h45m
 10700K .......... .......... .......... .......... ..........  2%  496K 1h45m
 10750K .......... .......... .......... .......... ..........  2%  607K 1h45m
 10800K .......... .......... .......... .......... ..........  2%  593K 1h45m
 10850K .......... .......... .......... .......... ..........  2%  773K 1h45m
 10900K .......... .......... .......... .......... ..........  2%  680K 1h45m
 10950K .......... .......... .......... .......... ..........  2%  697K 1h45m
 11000K .......... .......... .......... .......... ..........  2%  809K 1h44m
 11050K .......... .......... .......... .......... ..........  2%  614K 1h44m
 11100K .......... .......... .......... .......... ..........  2%  679K 1h44m
 11150K .......... .......... .......... .......... ..........  2%  580K 1h44m
 11200K .......... .......... .......... .......... ..........  2%  633K 1h44m
 11250K .......... .......... .......... .......... ..........  2%  797K 1h44m
 11300K .......... .......... .......... .......... ..........  2%  760K 1h44m
 11350K .......... .......... .......... .......... ..........  2%  797K 1h44m
 11400K .......... .......... .......... .......... ..........  2%  683K 1h44m
 11450K .......... .......... .......... .......... ..........  2%  622K 1h44m
 11500K .......... .......... .......... .......... ..........  2%  680K 1h44m
 11550K .......... .......... .......... .......... ..........  2%  630K 1h44m
 11600K .......... .......... .......... .......... ..........  2%  562K 1h44m
 11650K .......... .......... .......... .......... ..........  2%  586K 1h44m
 11700K .......... .......... .......... .......... ..........  2%  796K 1h44m
 11750K .......... .......... .......... .......... ..........  2%  607K 1h44m
 11800K .......... .......... .......... .......... ..........  2%  561K 1h44m
 11850K .......... .......... .......... .......... ..........  2%  699K 1h44m
 11900K .......... .......... .......... .......... ..........  2%  722K 1h43m
 11950K .......... .......... .......... .......... ..........  2%  646K 1h43m
 12000K .......... .......... .......... .......... ..........  2%  997K 1h43m
 12050K .......... .......... .......... .......... ..........  2%  878K 1h43m
 12100K .......... .......... .......... .......... ..........  2%  948K 1h43m
 12150K .......... .......... .......... .......... ..........  2%  962K 1h43m
 12200K .......... .......... .......... .......... ..........  2% 1000K 1h43m
 12250K .......... .......... .......... .......... ..........  2%  835K 1h42m
 12300K .......... .......... .......... .......... ..........  2%  760K 1h42m
 12350K .......... .......... .......... .......... ..........  2%  796K 1h42m
 12400K .......... .......... .......... .......... ..........  2%  785K 1h42m
 12450K .......... .......... .......... .......... ..........  2%  784K 1h42m
 12500K .......... .......... .......... .......... ..........  2%  729K 1h42m
 12550K .......... .......... .......... .......... ..........  2%  621K 1h42m
 12600K .......... .......... .......... .......... ..........  2%  679K 1h42m
 12650K .......... .......... .......... .......... ..........  2%  809K 1h42m
 12700K .......... .......... .......... .......... ..........  2%  810K 1h42m
 12750K .......... .......... .......... .......... ..........  2%  797K 1h42m
 12800K .......... .......... .......... .......... ..........  2%  836K 1h41m
 12850K .......... .......... .......... .......... ..........  2%  961K 1h41m
 12900K .......... .......... .......... .......... ..........  2%  934K 1h41m
 12950K .......... .......... .......... .......... ..........  2%  739K 1h41m
 13000K .......... .......... .......... .......... ..........  2% 1,02M 1h41m
 13050K .......... .......... .......... .......... ..........  2%  750K 1h41m
 13100K .......... .......... .......... .......... ..........  2%  698K 1h41m
 13150K .......... .......... .......... .......... ..........  2%  802K 1h41m
 13200K .......... .......... .......... .......... ..........  2%  851K 1h40m
 13250K .......... .......... .......... .......... ..........  2%  879K 1h40m
 13300K .......... .......... .......... .......... ..........  2%  915K 1h40m
 13350K .......... .......... .......... .......... ..........  2%  808K 1h40m
 13400K .......... .......... .......... .......... ..........  2%  773K 1h40m
 13450K .......... .......... .......... .......... ..........  2%  767K 1h40m
 13500K .......... .......... .......... .......... ..........  2%  669K 1h40m
 13550K .......... .......... .......... .......... ..........  2%  536K 1h40m
 13600K .......... .......... .......... .......... ..........  2%  596K 1h40m
 13650K .......... .......... .......... .......... ..........  2%  431K 1h40m
 13700K .......... .......... .......... .......... ..........  2%  619K 1h40m
 13750K .......... .......... .......... .......... ..........  2%  539K 1h40m
 13800K .......... .......... .......... .......... ..........  2%  607K 1h40m
 13850K .......... .......... .......... .......... ..........  2%  521K 1h40m
 13900K .......... .......... .......... .......... ..........  2%  902K 1h40m
 13950K .......... .......... .......... .......... ..........  3%  609K 1h40m
 14000K .......... .......... .......... .......... ..........  3%  819K 1h40m
 14050K .......... .......... .......... .......... ..........  3%  821K 1h40m
 14100K .......... .......... .......... .......... ..........  3%  648K 1h40m
 14150K .......... .......... .......... .......... ..........  3%  822K 1h40m
 14200K .......... .......... .......... .......... ..........  3%  663K 1h40m
 14250K .......... .......... .......... .......... ..........  3%  562K 1h40m
 14300K .......... .......... .......... .......... ..........  3%  731K 1h40m
 14350K .......... .......... .......... .......... ..........  3%  589K 1h40m
 14400K .......... .......... .......... .......... ..........  3%  750K 1h40m
 14450K .......... .......... .......... .......... ..........  3%  658K 99m59s
 14500K .......... .......... .......... .......... ..........  3%  646K 99m58s
 14550K .......... .......... .......... .......... ..........  3%  589K 99m58s
 14600K .......... .......... .......... .......... ..........  3%  532K 1h40m
 14650K .......... .......... .......... .......... ..........  3%  554K 1h40m
 14700K .......... .......... .......... .......... ..........  3%  567K 1h40m
 14750K .......... .......... .......... .......... ..........  3%  455K 1h40m
 14800K .......... .......... .......... .......... ..........  3%  507K 1h40m
 14850K .......... .......... .......... .......... ..........  3%  357K 1h40m
